,Year,Host(s),Champion,Runner-Up,Third Place,Number of Teams,Matches Played,Total Goals Scored,Avg Goals per Game
0,2022,Qatar,Argentina,France,Croatia,32,64,172,2.69
6,1998,France,France,Brazil,Croatia,32,64,171,2.67
2,2014,Brazil,Germany,Argentina,Netherlands,32,64,171,2.67
1,2018,Russia,France,Croatia,Belgium,32,64,169,2.64
5,2002,"South Korea, Japan",Brazil,Germany,Turkey,32,64,161,2.52
4,2006,Germany,Italy,France,Germany,32,64,147,2.3
10,1982,Spain,Italy,West Germany,Poland,24,52,146,2.81
3,2010,South Africa,Spain,Netherlands,Germany,32,64,145,2.27
7,1994,United States,Brazil,Italy,Sweden,24,52,141,2.71
17,1954,Switzerland,West Germany,Hungary,Austria,16,26,140,5.38
9,1986,Mexico,Argentina,West Germany,France,24,52,132,2.54
16,1958,Sweden,Brazil,Sweden,France,16,35,126,3.6
8,1990,Italy,West Germany,Argentina,Italy,24,52,115,2.21
11,1978,Argentina,Argentina,Netherlands,Brazil,16,38,102,2.68
12,1974,West Germany,West Germany,Netherlands,Poland,16,38,97,2.55
13,1970,Mexico,Brazil,Italy,West Germany,16,32,95,2.97
15,1962,Chile,Brazil,Czechoslovakia,Chile,16,32,89,2.78
14,1966,England,England,West Germany,Portugal,16,32,89,2.78
18,1950,Brazil,Uruguay,Brazil,Sweden,13,22,88,4.0
19,1938,France,Italy,Hungary,Brazil,15,18,84,4.67
21,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,4.38
20,1934,Italy,Italy,Czechoslovakia,Germany,16,17,69,4.06
